Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Newark Nj-, PA",571,238,221,2471171,619189,880517,1269770,1201401,1103642,47.37735552,425906,1367529,3080,495,470408,156466,619189,2089950,350332,268857,456919,789526,36606,38712,63555,49653,318076,115568,93611,21957,145760,129771,15989,56748,46998,299889,2471171,1201401,104136,227022,195820,199908,165624,1269770,96037,236346,207508,213725,220991,200173,463368,403328,413633,386615,39.41856392,36.99124343,38.2854641,917474,683422,602,651893,628670,54150,234052,999831,618709,215,592765,570201,48293,381122,89790.75657,48753.84238,817.8388792,75371.71629,0,31629.95271,26310.81086,69618.98249,91451.15061,619189,38615,969901,969901,880517,89384,880517,579070,301447,1958.187391,1192.2662,400476.5394,101.5537478,97900,91,130,152,571,308694,938181
"Niles-Benton Harbor, MI",49,9,12,156813,41557,62612,80440,76373,37424,25.38857143,7054,119389,765,115,23766,2410,41557,129076,26087,15470,31247,46095,3142,961,2142,2886,24502,9350,7749,1601,11705,10567,1138,3447,3654,24711,156813,76373,6709,12974,10768,13359,13637,80440,6591,13399,11126,14142,17436,13300,26373,21894,27501,31073,41.04081633,37.89795918,39.55102041,59677,40620,58,38271,36279,4283,19057,64786,37507,0,35969,33698,3809,27279,54802.79592,30079.97959,3212.938776,21653.38776,0,8300.020408,7619.122449,20973.44898,54902.93878,41557,4852,76824,76824,62612,14212,62612,45564,17048,1921.755102,624.1020408,132351.0204,95.62510204,56300,6,6,22,49,13460,25503
"North Port-Sarasota-Bradenton, FL",174,13,46,702281,188229,300209,365125,337156,143353,18.82333333,77988,558928,1275,270,44264,10021,188229,547734,116531,71698,150189,155497,11042,9054,12767,13246,139323,46801,36458,10343,65179,57177,8002,27343,7762,186157,702281,337156,23046,49424,41879,55112,103461,365125,22008,49644,44429,63621,123639,45054,99068,86308,118733,227100,50.5862069,48.47701149,49.53448276,276949,167675,360,154315,151567,15748,109274,306117,151369,51,140305,138250,13068,154748,63888.6092,19013.79885,1436.787356,20723.81034,304.3390805,13836.98851,3311.545977,38970.91379,65589.82184,188229,14481,396632,396632,300209,96423,300209,228050,72159,1947.04023,1037.149425,256397.1264,103.8322414,62300,4,42,78,174,18761,60274
"Norwich-New London, CT",66,6,16,274055,70842,106590,137252,136803,59450,21.30424242,23214,214605,2077,159,14488,11248,70842,214159,40681,30161,54591,72615,3904,2501,3190,4927,44455,17265,13401,3864,18483,15324,3159,8707,13746,37402,274055,136803,15157,25229,20734,23873,21396,137252,11678,23893,21470,24198,26828,26835,49122,42204,48071,48224,40.98484848,38.72727273,39.66666667,108703,80856,6291,70819,69866,4699,27847,110674,69203,675,65460,64327,4201,41471,79321.10606,35066.95455,10056.45455,51905.16667,0,11435.83333,18122.86364,52356.98485,79543.68182,70842,3538,119778,119778,106590,13188,106590,74246,32344,1933.090909,980.5151515,269539.3939,97.04621212,87100,3,13,32,66,10777,21179
"Oakland-Hayward-Berkeley, CA",569,359,199,2559296,599692,900113,1307197,1252099,1543814,59.54372583,595449,1015482,7173,16313,277730,539405,599692,2064456,348894,250798,444852,753641,43569,44770,77864,62235,396622,137051,103021,34030,163370,134750,28620,96201,41711,283205,2559296,1252099,121219,267696,190897,199618,165102,1307197,115822,275946,197566,212624,211680,237041,543642,388463,412242,376782,38.38488576,36.69947276,37.56766257,955374,694892,2014,668110,633313,59565,260482,1021292,616472,407,595846,565842,50223,404820,93507.5167,53772.56942,6178.876977,89945.77153,4538.339192,47450.84886,51677.88401,70585.4007,98059.43058,599692,43849,974320,974320,900113,74207,900113,549084,351029,1948.367311,1351.757469,550454.8822,101.8843409,92900,78,121,189,569,320562,1658163
"Ocala, FL",63,5,15,331298,91513,133966,172305,158993,86162,24.85571429,36137,245136,983,121,39337,4337,91513,269048,54985,36528,71836,77955,6931,3698,7093,7330,51605,17616,13703,3913,24837,21764,3073,9152,6180,81128,331298,158993,12006,23492,19604,24317,46643,172305,11736,25239,21207,28909,53964,23742,48731,40811,53226,100607,45.41269841,43.36507937,44.47619048,128188,69895,228,64862,61482,8185,58293,142457,67425,0,63264,60586,6839,75032,46674.50794,25881.46032,2507.412698,24568.33333,0,12241.69841,11978.5873,32755.22222,47915.60317,91513,10194,161264,161264,133966,27298,133966,105672,28294,1923.777778,787.7936508,140131.746,97.33,47300,0,15,35,63,0,28454
"Ocean City, NJ",33,0,8,97265,29903,45420,49978,47287,12743,11.67727273,6054,84522,143,32,4244,818,29903,77834,17807,12096,22416,21053,1513,174,678,1839,17713,6697,5527,1170,8820,7693,1127,2196,2137,20543,97265,47287,4217,6932,6441,9093,11209,49978,3519,6837,6680,9766,14222,7736,13769,13121,18859,25431,48,44.81818182,46.39393939,39086,26237,718,23434,23518,2001,12849,42256,22927,115,21414,20793,2019,19329,70814.24242,21641.45455,0,9148.393939,0,1306.787879,4089.545455,11794.36364,70848.66667,29903,1915,98394,98394,45420,52974,45420,33769,11651,1913.212121,972.5454545,416821.2727,100.5166667,75200,2,6,15,33,4074,0
"Odessa, TX",28,16,8,137130,33389,47653,69444,67686,80824,58.5375,72331,56306,623,106,5596,1004,33389,113708,17570,15819,23251,42639,5775,1210,2705,3533,17667,7364,5837,1527,6900,6102,798,3403,1640,13792,137130,67686,7658,14114,8306,9696,7577,69444,7714,14063,8621,9877,9696,15372,28177,16927,19573,17273,32.42857143,30.35714286,31.32142857,47834,36673,36,35109,34659,1978,11161,50617,28420,21,27387,26597,1802,22197,56039.60714,38735.64286,5268.607143,24425.85714,0,46162.75,32889.35714,47667,56303.78571,33389,4657,52272,52272,47653,4619,47653,32154,15499,1971.035714,641.4285714,82228.57143,102.0042857,65400,0,8,12,28,0,81530
"Ogden-Clearfield, UT",118,9,30,606628,147973,189303,301935,304693,100636,18.69144068,69068,505992,2718,2435,6352,8525,147973,526010,98080,49893,122318,219229,10825,3738,10374,7487,51927,20100,15738,4362,21230,18466,2764,10597,5691,53136,606628,304693,30094,67148,35282,37930,31978,301935,28754,65861,35410,38255,37590,58848,133009,70692,76185,69568,31.09322034,29.46610169,30.30508475,204848,161519,3791,152680,148763,8965,43329,207880,124734,529,121207,117380,6825,83146,68373.95763,12297.42373,1941.059322,27173.51695,953.0847458,26412.69492,20614.05085,48708.10169,69248.37288,147973,9584,201856,201856,189303,12553,189303,144886,44417,1978.440678,809.3305085,197404.2373,100.9745763,72200,5,25,60,118,11365,22976
"Oklahoma City, OK",363,82,129,1252987,309578,471209,635640,617347,407883,35.86239669,142042,845104,47462,934,128174,34808,309578,986554,181062,128516,231430,353302,25944,10025,22818,21685,203618,76125,60428,15697,85506,73249,12257,41987,28748,141127,1252987,617347,67910,133901,81065,93031,80803,635640,67172,131556,82504,98503,103573,135082,265457,163569,191534,184376,36.25895317,34.01928375,35.1322314,461171,337672,5621,317813,312018,20033,123499,486776,293025,934,281369,275456,16635,193751,61142.20937,27299.9449,37796.77686,25924.00551,0,12688.36915,35718.19559,32623.98072,62035.42424,309578,32465,530813,530813,471209,59604,471209,313278,157931,1966.283747,719.1955923,114634.708,99.46977961,64500,32,97,139,363,69342,226706
"Olympia-Tumwater, WA",50,0,7,252264,65272,98491,129312,122952,53245,19.9298,17787,199019,3009,1869,6420,12820,65272,196754,38101,27171,50591,65550,3378,1753,2756,5752,43171,15326,11249,4077,17893,14438,3455,9952,3638,30522,252264,122952,11455,24790,17100,20678,18856,129312,11533,25501,17739,23520,22970,22988,50291,34839,44198,41826,39.04,36.36,37.8,93018,65979,3759,60093,57313,4907,27039,100995,60845,482,58850,56416,3947,40150,71027.24,26152.46,27312.02,55618.26,4444.52,33323.82,36486.04,46732.82,71783.48,65272,4660,104751,104751,98491,6260,98491,66350,32141,1943.28,962.86,256038,99.2566,71500,1,6,30,50,1703,0
"Omaha-Council Bluffs, NE-IA",260,33,81,961592,243827,364653,486498,475094,188018,22.25957692,79492,773574,3886,556,67217,18109,243827,772443,148414,95413,190377,284783,12230,5030,11411,17239,150520,56333,44650,11683,64493,54518,9975,29694,19024,106402,961592,475094,44767,100234,66786,73450,61123,486498,44190,99364,66820,76477,76915,88957,199598,133606,149927,138038,36.38846154,34.32307692,35.31538462,352251,274107,4711,258596,253442,15954,78144,369482,248790,832,238929,235013,12945,120692,70055.58846,22176.71923,2315.680769,22149.7,1923.084615,11072.21154,16967.14615,35061.89231,71269.18077,243827,17698,396975,396975,364653,32322,364653,254610,110043,1938.319231,763.2923077,146997.6923,97.43807692,72800,29,52,113,260,72751,93792
"Orlando-Kissimmee-Sanford, FL",390,146,114,2134411,521311,768754,1089715,1044696,997548,44.15651282,538856,1136863,5005,1655,319695,83167,521311,1717672,294342,226969,378754,621301,42226,32875,50399,44153,336369,119207,84995,34212,128236,104379,23857,88926,29585,249426,2134411,1044696,119767,219115,154285,150880,145635,1089715,115976,223473,158328,165965,181502,235743,442588,312613,316845,327137,38.72820513,36.37179487,37.56923077,798633,583952,925,560750,529230,53797,214681,849156,526578,294,508419,483599,42685,322578,64921.3359,45766.01538,2175.982051,41713.63077,758.2820513,28179.82821,20727.07949,43994.28205,68803.91026,521311,47198,917474,917474,768754,148720,768754,505982,262772,1973.820513,1055.046154,224932.8231,105.7912564,58300,8,106,153,390,23175,842811
"Oshkosh-Neenah, WI",41,0,8,166994,40637,66694,83042,83952,15485,9.470243902,5784,151509,941,52,2856,3795,40637,121303,25621,15016,32561,41381,1315,614,1036,3000,34105,11999,8758,3241,14058,11365,2693,8048,9624,21467,166994,83952,9965,17092,12568,13831,12069,83042,9905,14975,11710,13514,15233,19870,32067,24278,27345,27302,38.85365854,36.51219512,37.65853659,66782,46484,115,44942,43414,2955,20298,66413,43904,4,42699,41467,2433,22509,63378.97561,1686.731707,0,29987.4878,0,4024.878049,7005.634146,19984.5122,63914.95122,40637,2454,72441,72441,66694,5747,66694,45642,21052,1963.414634,642,136597.561,94.96121951,70100,0,8,28,41,0,0
"Owensboro, KY",31,0,4,132848,35301,51584,67928,64920,10723,8.592903226,2925,122125,186,47,4829,728,35301,109108,20944,14357,27041,38540,2939,706,1344,2444,18692,7133,6188,945,9150,8302,848,2409,3978,19160,132848,64920,5536,12078,9144,10814,10719,67928,5388,12257,9321,11245,13841,10924,24335,18465,22059,24560,40.09677419,37.22580645,38.58064516,49545,33133,58,31669,30937,2138,16412,53275,29133,0,28077,27202,1931,24142,54229.83871,16816.41935,2095.419355,4728.645161,0,0,80.61290323,9141.16129,54227.6129,35301,3933,57501,57501,51584,5917,51584,37238,14346,1973,529.8709677,99129.03226,99.01032258,57500,2,2,22,31,5457,0
"Oxnard-Thousand Oaks-Ventura, CA",174,64,55,823318,195579,264305,414349,408969,422450,48.47534483,331567,400868,2389,1353,13082,54099,195579,706564,119062,76517,149754,267491,15955,13206,27788,23558,92271,31561,22846,8715,37165,30991,6174,23545,10245,91302,823318,408969,43043,80606,59609,63594,53873,414349,38328,78302,60757,66630,66661,81371,158908,120366,130224,120534,37.7816092,35.88505747,36.85632184,307399,231998,3834,218818,212122,16042,75401,316207,187565,581,181233,173140,13844,128642,87634.88506,38452.8908,17440.29885,80732.54598,1811.735632,49969.58621,43960.4023,68741.43678,91997.23563,195579,13198,279398,279398,264305,15093,264305,175452,88853,1939.942529,1458.954023,544625.3276,100.7705172,85300,9,46,69,174,44302,337393
"Palm Bay-Melbourne-Titusville, FL",114,6,29,543376,145109,220871,277134,266242,121910,21.30368421,43943,421466,1709,385,52677,11098,145109,438891,89749,55360,113599,140516,8906,6400,9113,10303,94129,34667,27497,7170,41095,35409,5686,18367,7563,107663,543376,266242,23101,41339,38181,48210,60124,277134,19680,41977,40328,50636,72114,42781,83316,78509,98846,132238,45.43859649,43.31578947,44.62280702,216703,140818,1346,131221,127325,12147,75885,229340,121992,329,115757,110853,10810,107348,60951.40351,32076.90351,1697.026316,31027.18421,617.4122807,13284.28947,15068.53509,50306.18421,61359.99123,145109,10446,267036,267036,220871,46165,220871,168706,52165,1929.175439,930.5175439,190797.3684,98.94561404,61900,4,25,52,114,12992,15747
"Panama City, FL",49,2,13,200578,51954,79501,97954,102624,43026,20.70142857,9463,157552,1151,146,23718,3380,51954,154562,30638,21316,38754,49258,4153,1814,2482,4779,34314,13111,9952,3159,14436,12236,2200,6767,9680,28573,200578,102624,9884,21718,15997,16649,16922,97954,8613,17724,14039,16942,19866,18497,39442,30036,33591,36788,40,37.06122449,38.48979592,81772,52992,3686,47063,45360,3946,28780,78898,46299,842,43409,42260,3197,32599,55790.87755,27350.5102,4422.489796,30853.08163,662.1020408,1482.897959,13800.93878,21982.42857,55889.44898,51954,5183,116255,116255,79501,36754,79501,53683,25818,1902,858.0816327,177600,96.43489796,58900,1,12,25,49,3660,6725
"Parkersburg-Vienna, WV",29,0,6,98390,27328,40950,50707,47683,3818,3.98,796,94572,208,30,958,488,27328,81139,15836,11492,21557,25680,1937,491,1171,2396,16255,6037,5035,1002,7585,6595,990,2633,843,16150,98390,47683,3609,8411,6993,8664,9103,50707,3789,8813,7186,9168,11261,7398,17224,14179,17832,20364,43.13793103,40.89655172,42.10344828,37840,24712,55,23739,22353,2304,13128,41310,21345,0,20550,19799,1546,19965,50895.17241,579.1724138,0,7923.862069,0,0,5421.310345,249.0344828,50837.7931,27328,3349,46777,46777,40950,5827,40950,30425,10525,1965.448276,552.5172414,96596.55172,97.06275862,56300,0,6,19,29,0,0
"Pensacola-Ferry Pass-Brent, FL",98,17,29,448991,114485,168173,225450,223541,123364,29.69285714,20568,325627,3578,600,75383,10705,114485,353303,66378,48107,83394,120795,10189,4716,7497,8656,67792,26014,19989,6025,27674,23738,3936,14104,24683,60048,448991,223541,27528,42878,31279,35846,34773,225450,23828,40325,31349,38036,42786,51356,83203,62628,73882,77559,38.83673469,36.25510204,37.57142857,177184,120455,11369,104512,97966,11120,56729,180787,103877,2294,98193,91576,10007,76910,60014.61224,31088.67347,10174.88776,26592.11224,620.4387755,2099.44898,22010.97959,29205.27551,59907.83673,114485,12339,199210,199210,168173,31037,168173,118911,49262,1940.010204,842.1122449,152087.7551,95.87969388,63300,3,26,44,98,7498,57175
"Peoria, IL",96,13,25,397820,104442,158072,203456,194364,60373,18.1221875,10889,337447,797,98,34401,7141,104442,319585,64568,39874,81506,113184,6446,1851,3768,6499,63390,24896,20271,4625,28734,25905,2829,9760,11920,58790,397820,194364,17449,37431,26226,32525,32250,203456,17676,37174,26653,34044,41367,35125,74605,52879,66569,73617,39.34375,36.76041667,38.08333333,149710,106685,298,101673,98922,7465,43025,160794,94600,98,90547,88299,6203,66194,66208.16667,16023.13542,2604.177083,16526.28125,0,8426.145833,10989.15625,23324.28125,66400.48958,104442,8374,171889,171889,158072,13817,158072,117223,40849,1959.645833,686.8541667,118312.5,95.70802083,72800,9,16,55,96,19601,33833
"Philadelphia, PA",528,265,194,2084985,449287,781030,1097323,987662,1124976,53.31132576,204148,960009,4172,571,752518,121665,449287,1575696,217217,232070,261881,635585,64897,31251,54254,41459,414109,145372,120181,25191,186371,162708,23663,82366,71613,265259,2084985,987662,128660,211154,130314,145972,130593,1097323,133897,228239,141681,166788,193438,262557,439393,271995,312760,324031,36.78598485,33.51515152,35.32765152,760478,496990,1058,477215,437423,58509,263488,881928,503367,204,484972,451061,52102,378561,58569.49053,37454.76326,868.719697,35778.54924,473.4867424,9326.842803,9542.63447,22837.05871,58560.01515,449287,71763,891489,891489,781030,110459,781030,466053,314977,1905.80303,853.0719697,179496.9697,109.8074053,56200,64,130,134,528,247631,1071058
"Phoenix-Mesa-Scottsdale, AZ",991,315,334,4192887,1000063,1500828,2107257,2085630,1732346,40.59559031,1235718,2460541,76662,8212,193497,134415,1000063,3354771,598557,401506,748200,1230998,78458,46784,99263,96645,653625,243929,181249,62680,256836,210773,46063,152860,72311,483421,4192887,2085630,211916,453351,285554,279432,289536,2107257,196399,437702,280387,301302,349747,408315,891053,565941,580734,639283,36.95055499,35.54793138,36.25933401,1536811,1103859,5526,1058333,1016717,81616,432952,1569731,912003,785,881083,849685,61533,657728,67523.46317,30363.27952,10592.47629,37550.72452,1052.975782,36819.88396,17394.52977,54127.83855,71700.00202,1000063,99855,1745666,1745666,1500828,244838,1500828,1008811,492017,1841.064581,1019.347124,248385.5772,103.07889,64000,91,243,336,991,343113,1355510
"Pine Bluff, AR",32,17,11,123081,29273,42780,59438,63643,57651,54.4375,2413,65430,317,13,53013,655,29273,99313,15285,13988,19680,37878,4854,1004,2829,2206,15504,6311,5512,799,7196,6693,503,1997,9574,16255,123081,63643,7030,13372,9152,10423,9222,59438,5808,10440,7975,9922,11521,12838,23812,17127,20345,20743,38.6875,35.3125,36.90625,50712,27363,173,25861,23427,3763,23349,48199,26729,32,25289,23523,3174,21470,53397.9375,31704.6875,3203.125,2656.21875,0,675.78125,2785.03125,4279.8125,53395.65625,29273,4796,51325,51325,42780,8545,42780,28855,13925,1973.28125,583.53125,67928.125,94.22875,49000,1,10,14,32,2567,48617
"Pittsburgh, PA",711,61,229,2356285,619201,985385,1218088,1138197,305122,16.26274262,29969,2051163,2471,448,194423,41036,619201,1858443,367249,251952,474474,638163,32204,20091,25660,31097,436324,158220,129777,28443,207964,183942,24022,70140,63546,407033,2356285,1138197,108450,205040,161998,211933,207311,1218088,106665,203573,169227,222919,284198,215115,408613,331225,434852,491509,43.02672293,39.91561181,41.61603376,921101,628413,1570,596946,581156,45687,292688,1014995,574268,189,548587,538763,35316,440727,61943.62447,21925.00844,155.4781997,20907.92827,0,2980.614627,6817.499297,13016.02813,62007.57806,619201,50629,1101793,1101793,985385,116408,985385,702132,283253,1924.849508,663.628692,115934.4585,96.31811533,69700,46,183,323,711,95673,123949
"Pittsfield, MA",39,0,5,131219,33202,55623,68050,63169,12293,8.273846154,4530,118926,197,23,3334,1602,33202,98926,18139,15063,24450,33719,1355,997,1607,2789,26654,9933,8412,1521,12488,10892,1596,4233,5948,24034,131219,63169,6173,9825,9191,12020,12964,68050,6173,9993,9601,12772,16883,12346,19818,18792,24792,29847,45.53846154,43.12820513,44.48717949,51664,34709,86,32310,31376,3247,16955,57284,33951,4,32238,32040,1907,23333,65019.48718,10320.71795,0,23235.07692,6410.282051,587.2051282,12063.89744,10477.71795,65560.79487,33202,2621,68364,68364,55623,12741,55623,38332,17291,1953.615385,756.7692308,228833.3333,99.57717949,67700,1,4,26,39,3389,0
"Pocatello, ID",22,1,5,82839,20255,29860,41541,41298,11273,14.79136364,5587,71566,2301,170,591,1060,20255,66355,12610,7645,16240,25741,959,588,774,1315,12735,4701,3513,1188,4904,4119,785,3130,1611,8687,82839,41298,5032,8825,4469,5906,5341,41541,5053,8558,4640,6102,6199,10085,17383,9109,12008,11540,32.81818182,31.77272727,32.27272727,29719,21672,28,20945,20046,1598,8047,31076,18945,12,18380,17954,979,12131,55726.86364,2743.454545,3907.5,3816.272727,1852.272727,13284.36364,29244.36364,38392.54545,56332.40909,20255,2150,32697,32697,29860,2837,29860,21267,8593,1968.909091,596.2272727,138645.4545,100.8827273,61600,1,4,11,22,2916,2117
"Ponce, PR",101,96,28,441843,109543,141319,227893,213950,439688,94.56752475,438993,2155,22,6,258,193,109543,409428,52500,57043,63721,171197,23092,5906,14471,13252,36854,14532,12486,2046,17244,15752,1492,5078,5580,58650,441843,213950,23773,41675,25505,30881,34441,227893,23281,43129,29132,34958,42250,47054,84804,54637,65839,76691,35.79207921,32.72277228,34.48514851,165558,88883,154,86271,68872,19857,76675,180832,69452,15,68444,52234,17203,111380,18178.67327,16626.0099,387.980198,24.74257426,0,16210.94059,14604.91089,17432.78218,5161.524752,109543,54644,169278,169278,141319,27959,141319,102671,38648,1857.693069,361.3564356,83147.52475,95.6990099,20200,4,24,41,101,12231,441843
"Port St. Lucie, FL",81,12,22,424107,108932,162306,215825,208282,136543,27.97679012,63876,287564,912,179,58866,5736,108932,340192,64725,44207,85097,108761,7624,6167,9404,9514,67355,24348,19390,4958,29026,25023,4003,13981,6434,91458,424107,208282,16077,33319,28464,33546,51987,215825,14719,32731,28738,36114,60658,30796,66050,57202,69660,112645,45.64197531,44.17283951,44.9382716,164803,102613,164,95141,90887,11562,62190,173191,90214,77,84978,80419,9718,82977,58861.19753,28937.03704,4726.691358,18637.34568,0,13572.59259,15386.80247,44864.35802,60549.03704,108932,9488,211588,211588,162306,49282,162306,125403,36903,1886.024691,1022.382716,208646.9136,100.9162963,53300,3,19,35,81,9720,53547
"Portland-South Portland, ME",117,0,21,514098,135937,211636,264250,249848,33545,6.862478632,7976,480553,1474,117,7850,8051,135937,404422,77778,58159,107975,133938,5566,3222,4772,10408,97238,32848,23480,9368,42851,34965,7886,21539,11479,73135,514098,249848,21640,45139,39417,46286,41782,264250,21351,46070,40915,49638,53453,42991,91209,80332,95924,95235,41,39.14529915,40.12820513,200153,148383,2080,139381,137135,9168,51770,216094,138864,25,133498,132005,6834,77230,66494.73504,5918.820513,1053.470085,15426.81197,0,1171.034188,9808.444444,9603.846154,66763.8547,135937,8566,259790,259790,211636,48154,211636,151579,60057,1917.179487,866.8461538,246848.7179,96.66632479,73200,3,18,69,117,8434,0
"Portland-Vancouver-Hillsboro, OR-WA",492,9,131,2237075,543830,855363,1132388,1104687,529031,22.81932927,242397,1708044,15558,9823,60633,125769,543830,1736280,319290,224540,420106,615694,29105,19247,35562,52877,410842,146949,107125,39824,164584,131610,32974,99309,34548,238854,2237075,1104687,97549,251420,161368,178526,144346,1132388,97320,250795,159319,186128,180613,194869,502215,320687,364654,324959,37.75406504,36.28861789,37.01829268,839477,629486,1579,608739,570392,57515,209991,877515,547174,288,532205,504260,42626,330341,72815.02033,15515.70935,10080.13821,49378.13008,1782.770325,18970.3374,31220.39024,46361.02846,73959.24187,543830,44892,915465,915465,855363,60102,855363,542815,312548,1962.384146,906.3739837,301664.6321,102.3197764,73900,14,117,233,492,59875,45762
"Prescott, AZ",42,0,7,211033,56321,89109,107575,103458,38065,17.78238095,28728,172968,2799,182,1104,1703,56321,163952,34151,22170,45399,46401,3769,1753,4222,4550,41146,14869,11419,3450,17919,15371,2548,8358,4162,47549,211033,103458,8047,14244,11767,19422,29355,107575,6893,14041,12565,21892,32538,14940,28285,24332,41314,61893,49.52380952,47.38095238,48.5952381,84168,48976,211,45228,45288,3477,35192,89127,45043,9,42004,41878,3156,44084,54692.7619,979.9285714,11587.54762,9638.190476,0,21758.66667,18045.52381,41255.2381,56053.52381,56321,4956,108244,108244,89109,19135,89109,64562,24547,1987.928571,848.4761905,241419.0476,101.155,56000,0,7,27,42,0,0
"Providence-Warwick, RI-MA",370,45,124,1600852,400698,621094,826936,773916,327823,21.2527027,163675,1273029,5109,424,67296,40128,400698,1270699,214807,185891,290004,465857,22904,18410,26930,31748,273815,99114,77843,21271,121282,103385,17897,53419,58308,225677,1600852,773916,86234,143691,117189,129671,119897,826936,85957,147716,122906,138423,162803,172191,291407,240095,268094,282700,39.83513514,37.35945946,38.64864865,615758,440932,3962,417927,397026,39944,174826,677439,420118,862,403774,388515,30741,257321,69957.08378,29878.81892,918.7351351,29475.68919,0,12983.71892,15123.97568,27516.61351,71140.3973,400698,34242,690006,690006,621094,68912,621094,391560,229534,1929.797297,877.0162162,292887.8405,96.89662162,74400,47,77,137,370,166545,189015
"Provo-Orem, UT",131,1,27,537056,114900,141710,267839,269217,83086,15.33900763,56551,453970,2524,3847,2463,6956,114900,442805,78786,36114,99549,197150,8696,2001,9378,7680,49239,11748,7267,4481,15062,10763,4299,22429,13733,33399,537056,269217,40008,63462,25237,22901,20092,267839,43131,59752,24687,24083,24052,83139,123214,49924,46984,44144,25.88549618,24.65648855,25.29007634,171216,133809,473,129788,125982,7354,37407,174634,100070,59,98099,94188,5823,74564,65647.25191,466.1374046,4549.358779,10675.43511,4996.824427,17777.1374,14462.70992,39761.68702,66182.92366,114900,9366,149640,149640,141710,7930,141710,99176,42534,1925.137405,888.5343511,239965.6489,103.6806107,67600,8,19,66,131,34572,3584
